"note","candidate_name","response","q_id"
"","Birgir Ö. Guðjónsson","Framfærslan er of lág",29
"","Birgir Ö. Guðjónsson","Bætur eru alltof lágar",30
"","Birgir Ö. Guðjónsson","Bætur eru of lágar",31
"","Birgir Ö. Guðjónsson","Of vægir",32
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",33
"","Birgir Ö. Guðjónsson","Mjög andvíg(ur)",34
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",35
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",36
"","Birgir Ö. Guðjónsson","Sammála",37
"""Til langs tíma"" er frekar óskilgreindur tími. Tíminn þarf bara að vera nægilegur til þess að tryggja hagkvæmni svo það skili sér sem best til þjóðarinnar.","Birgir Ö. Guðjónsson","Ósammála",38
"","Birgir Ö. Guðjónsson","Vil ekki svara",39
"Greiða á eðlilegt gjald fyrir afnot af auðlindinni.","Birgir Ö. Guðjónsson","Frekar hlynnt(ur)",40
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",41
"","Birgir Ö. Guðjónsson","Frekar hlynnt(ur)",42
"","Birgir Ö. Guðjónsson","Hlutlaus",43
"","Birgir Ö. Guðjónsson","Frekar hlynnt(ur)",44
"","Birgir Ö. Guðjónsson","Mjög andvíg(ur)",45
"","Birgir Ö. Guðjónsson","Mjög ósammála",46
"Gamaldags og úreltur hugsunarháttur í garð geðsjúkdóma.","Birgir Ö. Guðjónsson","Mjög mikilvægt",47
"Liggur í orðinu ""tannheilsa"".","Birgir Ö. Guðjónsson","Mjög hlynnt(ur)",48
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",49
"","Birgir Ö. Guðjónsson","Ósammála",50
"","Birgir Ö. Guðjónsson","Hlutlaus",51
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",52
"Sælla er að gefa en þyggja. Það er gott að gefa í góð málefni og við eigum að reyna að gera það, bæði sem þjóð og einstaklingar. Vegna ástands getum við að sjálfsögðu gefið mis mikið en við ættum alltaf að geta gefið eitthvað.","Birgir Ö. Guðjónsson","Hvorki né",53
"","Birgir Ö. Guðjónsson","Flugvöllurinn á að vera áfram í Vatnsmýri",54
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",55
"Það er í raun gott mál og sennilega mikilvægt að göngin verði byggð en tímapunkturinn er væntanlega ekki réttur.","Birgir Ö. Guðjónsson","Hvorki né",56
"","Birgir Ö. Guðjónsson","Sammála",57
"ÞEGAR búið er að afnema verðtryggingu á neytendalán mun ég segja atvinnuleysi.","Birgir Ö. Guðjónsson","Verðbólgu",58
"","Birgir Ö. Guðjónsson","Hvorki né",59
"","Birgir Ö. Guðjónsson","Hvorki né",60
"","Birgir Ö. Guðjónsson","Ósammála",61
"","Birgir Ö. Guðjónsson","Hvorki né",62
"","Birgir Ö. Guðjónsson","Mjög ósammála",63
"","Birgir Ö. Guðjónsson","Frekar hlynnt(ur)",64
"","Birgir Ö. Guðjónsson","Sammála",65
"","Birgir Ö. Guðjónsson","Ósammála",66
"Með því að setja öll eggin í sömu körfuna er verið að taka mikla áhættu. Mun frekar á að setja fókusinn á fjölbreytta atvinnustarfsemi t.d. með því að styrkja nýsköpun og búa í haginn fyrir lítil og meðalstór fyrirtæki í mismunandi greinum. ","Karólína Einarsdóttir","Mjög ósammála",1
"","Karólína Einarsdóttir","Mjög andvíg(ur)",2
"","Karólína Einarsdóttir","Mjög hlynnt(ur)",3
"","Karólína Einarsdóttir","Mjög andvíg(ur)",4
"Ísland á að hætta viðræðunumm enda snúast þær eingöngu um að aðlaga strjórn-og stofnanakerfi landsins að regluverki ESB. Það er rangt að Íslendingar geti fengið að kíkja í pakkann eins og búið er að halda fram. Stækkunarstjóri ESB hefur sagt að þau ríki sem sækja um aðild að ESB verði að taka upp allt regluverkið og þurfi að aðlaga sig að sambandinu á samningstímanum, engar varanlegar undanþágur séu fáanlegar.","Karólína Einarsdóttir","Ísland á að hætta aðildaviðræðum",5
"","Karólína Einarsdóttir","Hagsmunum Íslands er best borgið utan ESB",6
"Mér finnst mikilvægt að það náist sátt um framtíðargjaldmiðilinn og það fari fram góð umræða um þá möguleika sem eru í stöðunni. Þá þarf að skoða hvaða kostir felast í að halda krónunni og með hvaða hætti megi gera hana stöðugri.","Karólína Einarsdóttir","Veit ekki",7
"Mér finnst að Ísland eigi að vera þjóð friðar og lýsa yfir hlutleysi. Hernaðarbandalagið NATÓ er ábyrgt fyrir dauða og þjáningum tugþúsunda saklauss fólks og barna á hverju ári. Sem meðlimir í NATÓ styðjum við þessi voðaverk og tökum þátt í því. Þetta herfnaðarbrölt er einnig mjög kostnaðarsamt fyrir umhverfið og náttúruna hvernig sem á það er litið. Að auki gætum við sparað hundruð milljóna árlega með því að segja okkur úr NATÓ. Þann pening gætum notað í uppbyggilegri málefni t.d. hjálparstarf hér heima og erlendis.","Karólína Einarsdóttir","Mjög andvíg(ur)",8
"","Karólína Einarsdóttir","Sammála",9
"Þótt slíkir tollar stuðli að aðeins hærra matvöruverði þá verðum við að horfa á heildarmyndina: 
-Matvælaframleiðsla á íslandi er umhverfisvæn og skapar gríðarlega mörg og mikilvæg störf. 
-Innflutningur á erlendum matvælum er bæði skaðlegur fyrir umhverfið og vöruskiptajöfnuðinn.","Karólína Einarsdóttir","Mjög sammála",10
"","Karólína Einarsdóttir","Hlutlaus",11
"","Karólína Einarsdóttir","Frekar andvíg(ur)",12
"","Karólína Einarsdóttir","Frekar hlynnt(ur)",13
"","Karólína Einarsdóttir","Ósammála",14
"","Karólína Einarsdóttir","Styrkirnir eru hæfilegir",15
"Mér finnst þó mikilvægt að hækka þrepin þannig að millitekjufólk (sem er oft skuldugt barnafólk) lendi ekki í erfiðleikum. Einnig er mikilvægt að hækka skattleysismörkin.","Karólína Einarsdóttir","Skattbyrðin er hæfileg",16
"Allir eiga rétt til náms óháð efnahag. Menntun er góð fjárfesting fyrir samfélagið og skilar sér margfalt til baka.  ","Karólína Einarsdóttir","Mjög andvíg(ur)",17
"Mér finnst eðlilegt að þeir sem hafa mjög háar tekjur leggi meira til samfélagsins. ","Karólína Einarsdóttir","Sammála",18
"Á meðan vegakerfi okkar Íslendinga er svona lélegt og oft á tíðum hættulegt, er nauðsynlegt að fá tekjur inn í ríkissjóð í þann málaflokk. ","Karólína Einarsdóttir","Skattar eru hæfilegir",19
"Ég verð bara að segja eins og er, á meðan við getum ekki staðið undir heilbrigðiskerfinu okkar þá finnst mér ekki réttlætanlegt að borga listamannalaun. Ég tek þó fram að mér finnst menning mikilvæg og mér finnst sjálfsagt að styðja við bakið á félagasamtökum og stofnunum í þeim málaflokki. Mér finnst það þó ekki forgangsmál eins og heilbrigðismálin. ","Karólína Einarsdóttir","Frekar andvíg(ur)",20
"Ég tel mjög mikilvægt að halda öllu landinu í byggð og efla þar nýsköpun og fjölbreytni, m.a. með styrkjum frá Byggðastofnun.","Karólína Einarsdóttir","Mjög sammála",21
"","Karólína Einarsdóttir","Mjög andvíg(ur)",22
"","Karólína Einarsdóttir","Frekar hlynnt(ur)",23
"","Karólína Einarsdóttir","Mjög hlynnt(ur)",24
"","Karólína Einarsdóttir","Mjög hlynnt(ur)",25
"","Karólína Einarsdóttir","Sammála",26
"","Karólína Einarsdóttir","Mjög sammála",27
"Ég tel að leið Lilju Mósesdóttur sé vel fær í þessum efnum og sem betra er að hún kostar ríkissjóð sama sem ekki neitt :)","Karólína Einarsdóttir","Mjög sammála",28
"","Karólína Einarsdóttir","Framfærslan er of lág",29
"","Karólína Einarsdóttir","Bætur eru alltof lágar",30
"","Karólína Einarsdóttir","Bætur eru of lágar",31
"","Karólína Einarsdóttir","Alltof vægir",32
"","Karólína Einarsdóttir","Frekar hlynnt(ur)",33
"","Karólína Einarsdóttir","Frekar andvíg(ur)",34
"","Karólína Einarsdóttir","Hlutlaus",35
"","Karólína Einarsdóttir","Mjög andvíg(ur)",36
"","Karólína Einarsdóttir","Mjög sammála",37
"","Karólína Einarsdóttir","Sammála",38
"","Karólína Einarsdóttir","20 ára",39
"Mér finnst mikilvægt að hafa stjórn á strandveiðum eins og öðrum veiðum, hvort það sé best gert með aflamarki, fjölda veiðidaga eða einhverju öðru formi þarf að meta.","Karólína Einarsdóttir","Hlutlaus",40
"Þjóðin kaus um nokkra liði frumvarpsins og mér þykir rétt að þeir liðir ættu að vera bindandi. Hins vegar er ég þeirrar skoðunar að meiri vinnu þurfi að leggja í frumvarpið áður en það er tekið til afgreiðslu.","Karólína Einarsdóttir","Hlutlaus",41
"","Karólína Einarsdóttir","Mjög hlynnt(ur)",42
"","Karólína Einarsdóttir","Frekar andvíg(ur)",43
"","Karólína Einarsdóttir","Mjög hlynnt(ur)",44
"","Karólína Einarsdóttir","Mjög andvíg(ur)",45
"Allir eiga að hafa sama rétt á góðri heilbrigðisþjónustu óháð efnahag. ","Karólína Einarsdóttir","Mjög ósammála",46
"","Karólína Einarsdóttir","Mjög mikilvægt",47
"","Karólína Einarsdóttir","Mjög hlynnt(ur)",48
"","Karólína Einarsdóttir","Mjög andvíg(ur)",49
"Konur og karlar hafa jafna möguleika á menntun og atvinnu. Hins vegar er raunin sú að störf sem eru unnin af konum að miklum meirihluta eru illa launuð. Þessi störf eru t.d. ýmis umönnunarstörf og kennsla. Það er löngu kominn tími til að fara að meta þessi störf að verðleikum og borga laun í samræmi við mikilvægi þeirra.     ","Karólína Einarsdóttir","Sammála",50
"","Karólína Einarsdóttir","Frekar andvíg(ur)",51
"","Karólína Einarsdóttir","Mjög andvíg(ur)",52
"Mér finnst bæði æskilegt. ","Karólína Einarsdóttir","Hvorki né",53
"","Karólína Einarsdóttir","Flugvöllurinn á að vera áfram í Vatnsmýri",54
"","Karólína Einarsdóttir","Hlutlaus",55
"Mér finnst önnur jarðgöng mikilvægari og mér finnst að fara eigi ætti eftir þeirri forgangsáætlun í jarðgangnagerð sem gerð hefur verið.","Karólína Einarsdóttir","Ekki mikilvægt",56
"","Karólína Einarsdóttir","Sammála",57
"Ég væri til í að fá að svara ""bæði"" því hvort tveggja er þjóðfélagsböl.","Karólína Einarsdóttir","Atvinnuleysi",58
"Hrunið er gott dæmi um það að hinn frjálsi markaður býður ekki upp á frelsi heldur bindur fólk í fjötra skulda, fátæktar og einsemdar. Þessa fjötra er ekki hægt að leysa nema félagslegum aðgerðum. ","Karólína Einarsdóttir","Mjög ósammála",59
"","Karólína Einarsdóttir","Hvorki né",60
"","Karólína Einarsdóttir","Ósammála",61
"","Karólína Einarsdóttir","Sammála",62
"Það á aldrei að þurfa flengja börn. Hins vegar er ég ekki með þessu að segja að foreldrar sem flengdu börnin sín hér áður fyrr hafi ekki verið góðir foreldrar.  ","Karólína Einarsdóttir","Ósammála",63
"Mér finnst að öll trú- og lífskoðunarfélög eigi að sitja við sama borð. ","Karólína Einarsdóttir","Mjög andvíg(ur)",64
"Með því að kenna ólík trúarbrögð og ólíka menningu og virðingu fyrir þeim, má koma í veg fyrir fordóma.  ","Karólína Einarsdóttir","Mjög sammála",65
"","Karólína Einarsdóttir","Mjög ósammála",66
"Vil fjölbreytta atvinnustefnu. ","Anna Ólafsdóttir Björnsson","Mjög ósammála",1
"","Anna Ólafsdóttir Björnsson","Mjög andvíg(ur)",2
"","Anna Ólafsdóttir Björnsson","Frekar hlynnt(ur)",3
"","Anna Ólafsdóttir Björnsson","Mjög andvíg(ur)",4
"Þjóðin vill ekki í ESB og gríðarlegum fjármunum er eytt í aðildarferlið, tugir ef ekki hundruð embættismanna komast ekki til miklu brýnni starfa til hjálpar heimilunum í landinu. ","Anna Ólafsdóttir Björnsson","Ísland á að hætta aðildaviðræðum",5
"","Anna Ólafsdóttir Björnsson","Hagsmunum Íslands er best borgið utan ESB",6
"Hallast að hugmyndum Lilju Mósesdóttur um nýkrónu með þeim nauðsynlegu aðgerðum sem upptöku hennar fylgir. Veit ekki hvort það telst ,,íslensk króna"" í ykkar skilgreiningu.","Anna Ólafsdóttir Björnsson","Íslenska krónu",7
"","Anna Ólafsdóttir Björnsson","Mjög andvíg(ur)",8
"Það er skylda okkar í samfélagi þjóðanna að axla okkar ábyrgð og taka á móti fólki sem er hrakið á flótta. ","Anna Ólafsdóttir Björnsson","Mjög sammála",9
"Innlend matvælaframleiðsla er öryggismál í heimi þar sem við getum ekki vitað hvað framtíðin ber í skauti sér, hvorki pólitískt séð né hvað náttúruhamfarir varða. Því er nauðsynlegt að viðhalda landbúnaði og sjávarútvegi.","Anna Ólafsdóttir Björnsson","Sammála",10
"Sem alþjóðasinni vil ég að allir sitji við sama borð í þessum efnum. Við eigum ekki að vera í einkaklúbbi með öðrum forréttindaþjóðum. ","Anna Ólafsdóttir Björnsson","Frekar hlynnt(ur)",11
"Almennt finnst mér neikvætt að auðmenn, hvort sem eru innlendir eða erlendir, safni jörðum til sín, sem betur væru nýttar í þágu fólks sem er að hefja búskap og vill búa á jörðunum. ","Anna Ólafsdóttir Björnsson","Frekar andvíg(ur)",12
"Þótt ég sé frekar andvíg að þetta sé skilyrði fyrir veitingu ríkisborgararéttar finnst mér mjög jákvætt að það sé ýtt undir að fólk geti bjargað sér á íslensku og þekki réttindi sín og skyldur. ","Anna Ólafsdóttir Björnsson","Frekar andvíg(ur)",13
"Hins vegar mætti gera margt betur til að auðvelda aðlögun.","Anna Ólafsdóttir Björnsson","Ósammála",14
"Hefur dugað til þessa, ég er hlynnt matvælaöryggi.","Anna Ólafsdóttir Björnsson","Styrkirnir eru hæfilegir",15
"Það þyrfi að hækka skattleysismörk og bæta það upp með fleiri þrepum. Margar þjóðir eru með stighækkandi þrep og gengur bara bærilega með það.","Anna Ólafsdóttir Björnsson","Skattbyrðin er hæfileg",16
"Ýtir undir mismunun, allir þurfa að hafa efni á háskólanámi. Til að bæta samkeppnisstöðu skólanna þá þarf að grípa til annarra ráða.","Anna Ólafsdóttir Björnsson","Frekar andvíg(ur)",17
"","Anna Ólafsdóttir Björnsson","Sammála",18
"Of margar fjölskyldur eiga ekki annarra kosta völ en að nota bíla og þar með eldsneyti. Nær væri að leggja aukna skatta á eldsneytisfreka bíla. ","Anna Ólafsdóttir Björnsson","Skattar eru of háir",19
"","Anna Ólafsdóttir Björnsson","Frekar hlynnt(ur)",20
"","Anna Ólafsdóttir Björnsson","Sammála",21
"","Anna Ólafsdóttir Björnsson","Mjög andvíg(ur)",22
"","Anna Ólafsdóttir Björnsson","Frekar hlynnt(ur)",23
"","Anna Ólafsdóttir Björnsson","Frekar hlynnt(ur)",24
"","Anna Ólafsdóttir Björnsson","Mjög hlynnt(ur)",25
"","Anna Ólafsdóttir Björnsson","Sammála",26
"","Anna Ólafsdóttir Björnsson","Sammála",27
"","Anna Ólafsdóttir Björnsson","Sammála",28
"","Anna Ólafsdóttir Björnsson","Framfærslan er of lág",29
"","Anna Ólafsdóttir Björnsson","Bætur eru of lágar",30
"","Anna Ólafsdóttir Björnsson","Bætur eru hæfilegar",31
"","Anna Ólafsdóttir Björnsson","Alltof vægir",32
"","Anna Ólafsdóttir Björnsson","Vil ekki svara",33
"","Anna Ólafsdóttir Björnsson","Frekar andvíg(ur)",34
"","Anna Ólafsdóttir Björnsson","Hlutlaus",35
"Kvóti er stýringaraðferð til að takmarka veiði og það er ágætt, hins vegar hefur það ekki komið í veg fyrir ofveiði. Núverandi kvótakerfi er afleitt vegna framsals kvóta og afleiðinga í byggðarlögum. ","Anna Ólafsdóttir Björnsson","Frekar andvíg(ur)",36
"","Anna Ólafsdóttir Björnsson","Sammála",37
"","Anna Ólafsdóttir Björnsson","Ósammála",38
"","Anna Ólafsdóttir Björnsson","20 ára",39
"","Anna Ólafsdóttir Björnsson","Frekar hlynnt(ur)",40
"","Anna Ólafsdóttir Björnsson","Hlutlaus",41
"Það þarf að brjóta upp núverandi flokkakerfi, rannsóknarskýrsla alþingis leiddi það í ljós að þar liggja ákveðnar hættur vegna hagsmunatengsla og fleiri atriða","Anna Ólafsdóttir Björnsson","Frekar hlynnt(ur)",42
"","Anna Ólafsdóttir Björnsson","Frekar andvíg(ur)",43
"","Anna Ólafsdóttir Björnsson","Mjög hlynnt(ur)",44
"Árekstrar milli löggjafarvalds og framkvæmdavalds. Efla þyrfi þingið til að vera upp á móti fleiri röddum ríkisstjórnarinnar.","Anna Ólafsdóttir Björnsson","Frekar andvíg(ur)",45
"Stríðir freklega gegn réttlætiskennd minni.","Anna Ólafsdóttir Björnsson","Mjög ósammála",46
"","Anna Ólafsdóttir Björnsson","Mjög mikilvægt",47
"","Anna Ólafsdóttir Björnsson","Frekar hlynnt(ur)",48
"Meðan ég sé ekki að þörf allra sé fullnægt þá er ótímabært að opna á slíkt.","Anna Ólafsdóttir Björnsson","Mjög andvíg(ur)",49
"Jafnrétti á milli kynjanna er ekki náð enn, þótt mikið hafi áunnist. ","Anna Ólafsdóttir Björnsson","Ósammála",50
"","Anna Ólafsdóttir Björnsson","Vil ekki svara",51
"","Anna Ólafsdóttir Björnsson","Mjög andvíg(ur)",52
